기준년월,지자체,방문자 구분,방문자수
202305,경기도,현지인방문자(a),2.13997648E8
202305,경기도,외지인방문자(b),5.3506996E7
202305,경기도,외국인방문자(c),237638.0
202305,경기도,외부방문자(b+c),5.3744633E7
202305,경기도,전체방문자(a+b+c),2.67742281E8
202305,충청북도,현지인방문자(a),2.7508138E7
202305,충청북도,외지인방문자(b),9818924.0
202305,충청북도,외국인방문자(c),25391.0
202305,충청북도,외부방문자(b+c),9844315.0
202305,충청북도,전체방문자(a+b+c),3.7352453E7
202305,충청남도,현지인방문자(a),3.6316259E7
202305,충청남도,외지인방문자(b),1.4439698E7
202305,충청남도,외국인방문자(c),38845.0
202305,충청남도,외부방문자(b+c),1.4478543E7
202305,충청남도,전체방문자(a+b+c),5.0794802E7
202305,전라북도,현지인방문자(a),3.3851139E7
202305,전라북도,외지인방문자(b),8218654.0
202305,전라북도,외국인방문자(c),21489.0
202305,전라북도,외부방문자(b+c),8240144.0
202305,전라북도,전체방문자(a+b+c),4.2091283E7
202305,전라남도,현지인방문자(a),3.2342597E7
202305,전라남도,외지인방문자(b),1.1478579E7
202305,전라남도,외국인방문자(c),26482.0
202305,전라남도,외부방문자(b+c),1.1505061E7
202305,전라남도,전체방문자(a+b+c),4.3847658E7
202305,경상북도,현지인방문자(a),4.7718349E7
202305,경상북도,외지인방문자(b),1.5863477E7
202305,경상북도,외국인방문자(c),31696.0
202305,경상북도,외부방문자(b+c),1.5895173E7
202305,경상북도,전체방문자(a+b+c),6.3613522E7
202305,경상남도,현지인방문자(a),5.4368685E7
202305,경상남도,외지인방문자(b),1.3463142E7
202305,경상남도,외국인방문자(c),51564.0
202305,경상남도,외부방문자(b+c),1.3514706E7
202305,경상남도,전체방문자(a+b+c),6.7883391E7
202305,제주특별자치도,현지인방문자(a),1.792798E7
202305,제주특별자치도,외지인방문자(b),5146428.0
202305,제주특별자치도,외국인방문자(c),62456.0
202305,제주특별자치도,외부방문자(b+c),5208884.0
202305,제주특별자치도,전체방문자(a+b+c),2.3136864E7
202305,강원특별자치도,현지인방문자(a),3.1960142E7
202305,강원특별자치도,외지인방문자(b),1.2463906E7
202305,강원특별자치도,외국인방문자(c),35717.0
202305,강원특별자치도,외부방문자(b+c),1.2499623E7
202305,강원특별자치도,전체방문자(a+b+c),4.4459764E7
202306,서울특별시,현지인방문자(a),1.38053209E8
202306,서울특별시,외지인방문자(b),4.7057941E7
202306,서울특별시,외국인방문자(c),710547.0
202306,서울특별시,외부방문자(b+c),4.7768488E7
202306,서울특별시,전체방문자(a+b+c),1.85821697E8
202306,부산광역시,현지인방문자(a),4.4348605E7
202306,부산광역시,외지인방문자(b),1.1523799E7
202306,부산광역시,외국인방문자(c),178725.0
202306,부산광역시,외부방문자(b+c),1.1702524E7
202306,부산광역시,전체방문자(a+b+c),5.6051129E7
202306,대구광역시,현지인방문자(a),3.4393194E7
202306,대구광역시,외지인방문자(b),7660860.0
202306,대구광역시,외국인방문자(c),29884.0
202306,대구광역시,외부방문자(b+c),7690744.0
202306,대구광역시,전체방문자(a+b+c),4.2083938E7
202306,인천광역시,현지인방문자(a),3.9969314E7
202306,인천광역시,외지인방문자(b),1.3956943E7
202306,인천광역시,외국인방문자(c),381879.0
202306,인천광역시,외부방문자(b+c),1.4338822E7
202306,인천광역시,전체방문자(a+b+c),5.4308136E7
202306,광주광역시,현지인방문자(a),2.0442856E7
202306,광주광역시,외지인방문자(b),5254522.0
202306,광주광역시,외국인방문자(c),10497.0
202306,광주광역시,외부방문자(b+c),5265019.0
202306,광주광역시,전체방문자(a+b+c),2.5707875E7
202306,대전광역시,현지인방문자(a),2.0860749E7
202306,대전광역시,외지인방문자(b),6603320.0
202306,대전광역시,외국인방문자(c),15063.0
202306,대전광역시,외부방문자(b+c),6618384.0
202306,대전광역시,전체방문자(a+b+c),2.7479133E7
202306,울산광역시,현지인방문자(a),1.694643E7
202306,울산광역시,외지인방문자(b),3935680.0
202306,울산광역시,외국인방문자(c),27224.0
202306,울산광역시,외부방문자(b+c),3962904.0
202306,울산광역시,전체방문자(a+b+c),2.0909334E7
202306,세종특별자치시,현지인방문자(a),5639536.0
202306,세종특별자치시,외지인방문자(b),2207464.0
202306,세종특별자치시,외국인방문자(c),4574.0
202306,세종특별자치시,외부방문자(b+c),2212038.0
202306,세종특별자치시,전체방문자(a+b+c),7851574.0
202306,경기도,현지인방문자(a),1.98207054E8
202306,경기도,외지인방문자(b),5.0799192E7
202306,경기도,외국인방문자(c),288795.0
202306,경기도,외부방문자(b+c),5.1087988E7
202306,경기도,전체방문자(a+b+c),2.49295042E8
202306,충청북도,현지인방문자(a),2.4325511E7
202306,충청북도,외지인방문자(b),9187822.0
202306,충청북도,외국인방문자(c),30575.0
202306,충청북도,외부방문자(b+c),9218397.0
202306,충청북도,전체방문자(a+b+c),3.3543908E7
202306,충청남도,현지인방문자(a),3.3209928E7
202306,충청남도,외지인방문자(b),1.336187E7
202306,충청남도,외국인방문자(c),48082.0
202306,충청남도,외부방문자(b+c),1.3409952E7
202306,충청남도,전체방문자(a+b+c),4.661988E7
202306,전라북도,현지인방문자(a),3.0679638E7
202306,전라북도,외지인방문자(b),7425761.0
202306,전라북도,외국인방문자(c),23533.0
202306,전라북도,외부방문자(b+c),7449294.0
202306,전라북도,전체방문자(a+b+c),3.8128933E7
202306,전라남도,현지인방문자(a),3.0745078E7
202306,전라남도,외지인방문자(b),1.0039306E7
202306,전라남도,외국인방문자(c),32082.0
202306,전라남도,외부방문자(b+c),1.0071388E7
202306,전라남도,전체방문자(a+b+c),4.0816466E7
202306,경상북도,현지인방문자(a),4.2157742E7
202306,경상북도,외지인방문자(b),1.4257464E7
202306,경상북도,외국인방문자(c),32953.0
202306,경상북도,외부방문자(b+c),1.4290417E7
202306,경상북도,전체방문자(a+b+c),5.6448158E7
202306,경상남도,현지인방문자(a),5.1537318E7
202306,경상남도,외지인방문자(b),1.2251466E7
202306,경상남도,외국인방문자(c),60048.0
202306,경상남도,외부방문자(b+c),1.2311515E7
202306,경상남도,전체방문자(a+b+c),6.3848833E7
202306,제주특별자치도,현지인방문자(a),1.7216465E7
202306,제주특별자치도,외지인방문자(b),4972198.0
202306,제주특별자치도,외국인방문자(c),87324.0
202306,제주특별자치도,외부방문자(b+c),5059522.0
202306,제주특별자치도,전체방문자(a+b+c),2.2275987E7
202306,강원특별자치도,현지인방문자(a),3.1381826E7
202306,강원특별자치도,외지인방문자(b),1.225602E7
202306,강원특별자치도,외국인방문자(c),35396.0
202306,강원특별자치도,외부방문자(b+c),1.2291416E7
202306,강원특별자치도,전체방문자(a+b+c),4.3673242E7
202307,서울특별시,현지인방문자(a),1.37684925E8
202307,서울특별시,외지인방문자(b),4.9356132E7
202307,서울특별시,외국인방문자(c),936352.0
202307,서울특별시,외부방문자(b+c),5.0292484E7
202307,서울특별시,전체방문자(a+b+c),1.87977409E8
202307,부산광역시,현지인방문자(a),4.48903E7
202307,부산광역시,외지인방문자(b),1.2601932E7
